Area,Cow_Breed,No_of_Calves,Litres_of_water_Taken_by_the_cow_in_a_day,Feeding_Practices,Average_Temperature_of_the_Area,Yearly_Production
Homa Bay Town,Brown Swiss,4,85,Zero-grazing,17,10766
Ndhiwa,Jersey,3,112,Grazing,29,10829
Ndhiwa,Guernsey,1,69,Grazing,28,5824
Suba North,Jersey,4,95,Mixed,17,8531
Rachuonyo North,Guernsey,7,80,Grazing,28,7250
Rachuonyo North,Ayrshire,7,66,Grazing,24,7304
Suba North,Ayrshire,3,95,Mixed,23,11924
Homa Bay Town,Brown Swiss,2,85,Grazing,22,9289
Rachuonyo South,Ayrshire,3,116,Zero-grazing,24,9753
Rachuonyo North,Brown Swiss,1,72,Grazing,23,6836
Rachuonyo North,Ayrshire,3,100,Zero-grazing,22,10865
Homa Bay Town,Ayrshire,4,117,Zero-grazing,30,11397
Rachuonyo South,Guernsey,2,110,Zero-grazing,29,9717
Rachuonyo South,Guernsey,7,72,Mixed,25,6297
Rachuonyo South,Ayrshire,5,69,Mixed,28,7617
Homa Bay Town,Ayrshire,2,85,Grazing,30,9399
Rachuonyo South,Holstein-Friesian,3,113,Mixed,23,8589
Ndhiwa,Ayrshire,1,62,Zero-grazing,17,7807
Suba North,Brown Swiss,2,96,Grazing,23,9977
Ndhiwa,Jersey,2,117,Grazing,22,9036
Rachuonyo South,Guernsey,2,86,Grazing,30,8793
Homa Bay Town,Holstein-Friesian,5,65,Zero-grazing,17,6117
Rachuonyo South,Jersey,3,86,Grazing,29,10438
Ndhiwa,Brown Swiss,2,96,Mixed,21,10330
Rachuonyo East,Holstein-Friesian,3,97,Grazing,21,10515
Homa Bay Town,Guernsey,1,53,Zero-grazing,16,8234
Rachuonyo East,Brown Swiss,1,54,Grazing,26,8476
Suba South,Holstein-Friesian,7,74,Mixed,22,5333
Rachuonyo South,Brown Swiss,2,108,Zero-grazing,26,8983
Rachuonyo South,Ayrshire,5,54,Mixed,30,5450
Ndhiwa,Brown Swiss,1,50,Mixed,16,6843
Ndhiwa,Ayrshire,5,78,Mixed,22,5608
Rachuonyo North,Brown Swiss,5,58,Zero-grazing,28,5544
Rachuonyo North,Brown Swiss,5,64,Grazing,15,8380
Homa Bay Town,Brown Swiss,6,58,Mixed,16,2107
Suba South,Brown Swiss,5,63,Grazing,30,6489
Suba North,Ayrshire,6,70,Zero-grazing,25,3688
Homa Bay Town,Holstein-Friesian,6,52,Zero-grazing,30,2172
Suba South,Brown Swiss,5,64,Mixed,22,6766
Rachuonyo North,Brown Swiss,1,66,Grazing,16,8000
Rachuonyo East,Brown Swiss,1,61,Grazing,23,8427
Suba North,Brown Swiss,5,52,Zero-grazing,15,7309
Rachuonyo South,Jersey,3,89,Grazing,16,8643
Suba North,Guernsey,2,86,Zero-grazing,19,11008
Suba North,Jersey,6,66,Mixed,22,2871
Rachuonyo East,Ayrshire,2,105,Zero-grazing,27,9395
Suba South,Brown Swiss,2,94,Zero-grazing,21,9908
Suba South,Guernsey,4,120,Zero-grazing,30,9700
Rachuonyo East,Guernsey,6,51,Grazing,18,3232
Suba North,Guernsey,2,98,Zero-grazing,30,9383
Suba South,Holstein-Friesian,2,120,Mixed,25,11103
Suba North,Jersey,4,81,Grazing,21,8988
Suba South,Jersey,2,115,Grazing,25,11347
Rachuonyo South,Guernsey,6,69,Mixed,27,2347
Rachuonyo East,Guernsey,5,50,Zero-grazing,25,7237
Rachuonyo South,Jersey,3,97,Grazing,21,9457
Rachuonyo North,Brown Swiss,1,62,Zero-grazing,21,7704
Rachuonyo North,Jersey,4,105,Grazing,26,10367
Ndhiwa,Guernsey,6,59,Zero-grazing,22,3052
Rachuonyo North,Brown Swiss,7,59,Mixed,18,6045
Suba North,Ayrshire,6,58,Mixed,15,3170
Suba North,Brown Swiss,4,91,Grazing,27,10893
Rachuonyo East,Jersey,2,105,Zero-grazing,25,9922
Rachuonyo North,Holstein-Friesian,2,114,Zero-grazing,25,9731
Suba South,Holstein-Friesian,1,56,Grazing,28,8209
Rachuonyo North,Brown Swiss,5,66,Zero-grazing,17,8076
Homa Bay Town,Jersey,7,70,Grazing,26,5368
Rachuonyo South,Brown Swiss,6,56,Grazing,28,3117
Ndhiwa,Jersey,2,117,Zero-grazing,17,11074
Suba North,Holstein-Friesian,2,103,Grazing,28,9996
Rachuonyo South,Holstein-Friesian,6,57,Grazing,29,3883
Homa Bay Town,Brown Swiss,4,82,Zero-grazing,17,9173
Suba South,Jersey,7,54,Grazing,21,5436
Rachuonyo North,Holstein-Friesian,6,57,Mixed,24,2166
Suba North,Holstein-Friesian,1,73,Mixed,25,5200
Rachuonyo South,Holstein-Friesian,5,58,Zero-grazing,30,7224
Suba South,Jersey,2,112,Grazing,23,9884
Suba North,Guernsey,5,51,Zero-grazing,30,6501
Rachuonyo East,Holstein-Friesian,5,50,Mixed,19,5302
Rachuonyo East,Jersey,1,79,Grazing,30,7727
Homa Bay Town,Ayrshire,2,83,Grazing,25,11793
Ndhiwa,Guernsey,3,95,Zero-grazing,28,10375
Suba North,Ayrshire,2,92,Mixed,21,10541
Rachuonyo East,Holstein-Friesian,2,103,Mixed,28,10097
Ndhiwa,Brown Swiss,6,70,Zero-grazing,27,2881
Ndhiwa,Ayrshire,5,80,Zero-grazing,30,7236
Suba South,Jersey,4,85,Mixed,28,9764
Rachuonyo South,Jersey,4,101,Grazing,16,10040
Rachuonyo North,Guernsey,2,84,Grazing,18,9243
Suba South,Holstein-Friesian,3,97,Mixed,24,11055
Rachuonyo South,Guernsey,1,80,Zero-grazing,23,7571
Suba South,Jersey,5,71,Mixed,20,5301
Homa Bay Town,Guernsey,2,116,Grazing,26,8982
Suba South,Jersey,1,55,Mixed,30,7229
Ndhiwa,Jersey,3,97,Zero-grazing,27,10230
Suba North,Brown Swiss,5,62,Mixed,26,7647
Suba South,Holstein-Friesian,4,93,Mixed,24,8975
Rachuonyo East,Guernsey,5,79,Mixed,24,7675
Suba North,Ayrshire,5,57,Mixed,24,7069
Homa Bay Town,Jersey,7,73,Grazing,19,8175
Rachuonyo North,Guernsey,1,80,Mixed,17,7159
Rachuonyo South,Guernsey,4,107,Mixed,22,8873
Homa Bay Town,Ayrshire,1,55,Mixed,25,5262
Rachuonyo East,Brown Swiss,4,110,Zero-grazing,28,8755
Ndhiwa,Holstein-Friesian,4,106,Zero-grazing,21,11349
Ndhiwa,Ayrshire,1,51,Mixed,25,6127
Homa Bay Town,Ayrshire,2,116,Grazing,30,9084
Ndhiwa,Holstein-Friesian,3,91,Grazing,19,11146
Suba South,Brown Swiss,6,65,Mixed,15,2762
Suba South,Ayrshire,3,110,Mixed,24,9352
Rachuonyo North,Jersey,7,75,Grazing,29,6483
Homa Bay Town,Holstein-Friesian,3,120,Grazing,17,9254
Rachuonyo South,Guernsey,3,80,Grazing,19,11333
Rachuonyo North,Ayrshire,5,65,Grazing,18,7121
Suba South,Brown Swiss,6,69,Zero-grazing,24,3700
Suba North,Jersey,7,75,Mixed,24,6262
Suba South,Ayrshire,3,115,Mixed,18,10585
Rachuonyo South,Holstein-Friesian,1,74,Grazing,25,6520
Ndhiwa,Jersey,4,89,Zero-grazing,25,8656
Suba South,Holstein-Friesian,5,58,Zero-grazing,21,7477
Rachuonyo South,Brown Swiss,5,51,Grazing,21,7947
Rachuonyo North,Jersey,6,67,Grazing,27,2409
Homa Bay Town,Holstein-Friesian,6,69,Mixed,19,2415
Suba South,Holstein-Friesian,4,100,Zero-grazing,21,9921
Rachuonyo East,Holstein-Friesian,3,106,Mixed,23,9094
Homa Bay Town,Guernsey,6,67,Grazing,26,2609
Ndhiwa,Ayrshire,3,80,Mixed,30,10967
Rachuonyo North,Holstein-Friesian,5,64,Grazing,24,8338
Rachuonyo East,Jersey,7,52,Zero-grazing,15,7045
Suba North,Brown Swiss,2,106,Grazing,21,11777
Rachuonyo East,Guernsey,4,112,Zero-grazing,19,9828
Rachuonyo South,Jersey,3,95,Zero-grazing,26,9439
Suba South,Jersey,2,84,Mixed,28,10006
Suba South,Holstein-Friesian,7,78,Zero-grazing,23,6457
Rachuonyo South,Brown Swiss,3,80,Mixed,24,11169
Rachuonyo North,Jersey,4,105,Grazing,30,9033
Homa Bay Town,Jersey,3,80,Grazing,19,11287
Rachuonyo South,Guernsey,4,113,Grazing,18,9426
Suba South,Guernsey,3,80,Zero-grazing,26,11702
Rachuonyo South,Brown Swiss,4,96,Mixed,22,10554
Ndhiwa,Holstein-Friesian,6,54,Zero-grazing,19,2420
Homa Bay Town,Brown Swiss,7,50,Mixed,23,5799
Suba North,Guernsey,1,52,Zero-grazing,30,7506
Rachuonyo East,Holstein-Friesian,1,53,Grazing,18,6238
Suba North,Holstein-Friesian,3,100,Grazing,21,9623
Rachuonyo East,Jersey,3,92,Zero-grazing,29,10747
Ndhiwa,Holstein-Friesian,7,64,Zero-grazing,24,6360
Suba South,Jersey,2,97,Mixed,24,9211
Suba South,Jersey,2,112,Zero-grazing,16,9288
Rachuonyo South,Ayrshire,3,82,Mixed,17,11698
Rachuonyo North,Brown Swiss,1,77,Zero-grazing,29,5482
Rachuonyo South,Guernsey,1,63,Grazing,27,5000
Rachuonyo North,Guernsey,3,80,Zero-grazing,20,8931
Homa Bay Town,Holstein-Friesian,3,102,Mixed,26,8611
Homa Bay Town,Brown Swiss,2,112,Mixed,26,9925
Suba North,Ayrshire,6,50,Mixed,18,3115
Rachuonyo East,Ayrshire,2,107,Mixed,21,11587
Rachuonyo North,Jersey,3,115,Grazing,15,10922
Ndhiwa,Ayrshire,2,118,Zero-grazing,26,9777
Suba South,Brown Swiss,1,57,Zero-grazing,19,8145
Ndhiwa,Brown Swiss,2,95,Grazing,15,11405
Suba South,Holstein-Friesian,6,51,Zero-grazing,26,2754
Ndhiwa,Ayrshire,4,80,Zero-grazing,22,8677
Rachuonyo South,Ayrshire,1,56,Grazing,30,5210
Rachuonyo North,Brown Swiss,2,103,Grazing,22,9201
Rachuonyo North,Guernsey,1,69,Zero-grazing,23,5391
Rachuonyo North,Guernsey,1,61,Zero-grazing,28,5027
Homa Bay Town,Holstein-Friesian,1,71,Grazing,30,5185
Rachuonyo South,Holstein-Friesian,1,59,Zero-grazing,25,7734
Rachuonyo North,Jersey,7,60,Grazing,21,6521
Suba North,Brown Swiss,5,63,Mixed,21,6428
Suba North,Jersey,2,90,Zero-grazing,21,10169
Suba North,Brown Swiss,4,84,Zero-grazing,25,8982
Rachuonyo North,Jersey,5,74,Grazing,26,5800
Ndhiwa,Guernsey,5,80,Grazing,15,7647
Suba South,Jersey,7,72,Zero-grazing,16,7876
Rachuonyo East,Holstein-Friesian,5,75,Zero-grazing,17,6234
Rachuonyo North,Guernsey,5,56,Zero-grazing,21,6140
Rachuonyo East,Holstein-Friesian,1,59,Grazing,22,7965
Rachuonyo East,Holstein-Friesian,3,80,Zero-grazing,29,10672
Rachuonyo East,Brown Swiss,7,76,Mixed,18,5107
Rachuonyo South,Jersey,1,68,Zero-grazing,25,5254
Homa Bay Town,Brown Swiss,2,90,Mixed,28,11390
Rachuonyo North,Brown Swiss,4,113,Grazing,28,9713
Homa Bay Town,Guernsey,4,99,Grazing,20,9157
Rachuonyo East,Ayrshire,2,109,Grazing,15,9745
Homa Bay Town,Guernsey,2,99,Grazing,30,9064
Rachuonyo South,Brown Swiss,4,110,Grazing,24,11197
Suba South,Brown Swiss,5,52,Grazing,30,6793
Homa Bay Town,Guernsey,3,97,Zero-grazing,18,10981
Homa Bay Town,Brown Swiss,2,104,Grazing,25,10153
Rachuonyo North,Brown Swiss,3,104,Mixed,28,9249
Suba South,Brown Swiss,5,62,Zero-grazing,20,6012
Rachuonyo South,Holstein-Friesian,3,94,Zero-grazing,25,11707
Ndhiwa,Guernsey,5,76,Grazing,29,7075
Ndhiwa,Jersey,1,65,Grazing,15,8357
Ndhiwa,Brown Swiss,6,52,Grazing,29,2408
Rachuonyo East,Brown Swiss,5,72,Mixed,21,7251
Suba South,Guernsey,6,55,Mixed,17,2236
Rachuonyo East,Jersey,6,62,Grazing,30,2983
Suba South,Holstein-Friesian,6,54,Mixed,21,2981
Rachuonyo North,Jersey,5,65,Zero-grazing,22,7695
Rachuonyo North,Holstein-Friesian,3,85,Grazing,20,11715
Rachuonyo East,Holstein-Friesian,6,56,Mixed,19,2115
Rachuonyo South,Guernsey,7,54,Mixed,16,7495
Suba South,Jersey,3,110,Grazing,17,8894
Rachuonyo East,Ayrshire,3,98,Mixed,21,9644
Rachuonyo South,Holstein-Friesian,7,54,Grazing,16,7372
Rachuonyo South,Ayrshire,3,118,Mixed,20,9095
Homa Bay Town,Jersey,4,87,Mixed,18,9733
Ndhiwa,Holstein-Friesian,6,66,Zero-grazing,21,3797
Ndhiwa,Jersey,3,107,Grazing,18,11539
Suba North,Ayrshire,1,62,Zero-grazing,26,6490
Ndhiwa,Guernsey,6,55,Grazing,28,2256
Ndhiwa,Brown Swiss,4,118,Grazing,23,9801
Suba South,Brown Swiss,5,62,Zero-grazing,17,5952
Homa Bay Town,Holstein-Friesian,3,108,Grazing,26,10201
Suba South,Guernsey,6,70,Zero-grazing,24,3396
Rachuonyo North,Holstein-Friesian,1,69,Grazing,18,5495
Rachuonyo South,Jersey,5,55,Mixed,20,8087
Suba North,Holstein-Friesian,6,57,Zero-grazing,19,2181
Suba South,Ayrshire,2,97,Mixed,30,11005
Suba South,Ayrshire,7,69,Mixed,29,6623
Rachuonyo East,Brown Swiss,6,70,Grazing,22,3427
Rachuonyo South,Guernsey,6,53,Mixed,23,2546
Suba North,Brown Swiss,5,75,Zero-grazing,20,7601
Rachuonyo East,Guernsey,3,87,Grazing,17,11571
Rachuonyo East,Guernsey,7,75,Mixed,22,5710
Rachuonyo South,Guernsey,2,109,Zero-grazing,15,9090
Ndhiwa,Jersey,7,68,Mixed,19,5314
Rachuonyo South,Holstein-Friesian,4,103,Mixed,27,8507
Rachuonyo South,Guernsey,3,109,Mixed,15,10924
Rachuonyo South,Brown Swiss,3,83,Zero-grazing,18,10968
Rachuonyo East,Guernsey,2,85,Zero-grazing,26,11817
Rachuonyo North,Ayrshire,1,67,Grazing,19,6628
Rachuonyo East,Ayrshire,1,73,Zero-grazing,25,6408
Homa Bay Town,Guernsey,6,60,Mixed,22,3839
Suba South,Jersey,1,77,Mixed,19,7273
Suba North,Brown Swiss,4,88,Mixed,22,11819
Suba North,Brown Swiss,6,58,Zero-grazing,26,3806
Suba South,Jersey,4,105,Grazing,20,8515
Rachuonyo East,Brown Swiss,4,118,Zero-grazing,25,10883
Homa Bay Town,Brown Swiss,2,88,Zero-grazing,16,9422
Ndhiwa,Guernsey,6,55,Grazing,24,3572
Rachuonyo South,Holstein-Friesian,4,110,Zero-grazing,28,11040
Suba North,Holstein-Friesian,4,110,Mixed,28,11301
Rachuonyo East,Holstein-Friesian,7,65,Grazing,17,5278
Rachuonyo East,Ayrshire,3,111,Mixed,21,9271
Ndhiwa,Guernsey,3,109,Mixed,17,8994
Suba North,Brown Swiss,7,51,Mixed,25,7587
Homa Bay Town,Jersey,6,70,Grazing,22,3618
Homa Bay Town,Brown Swiss,7,66,Grazing,28,8021
Suba North,Jersey,1,55,Grazing,21,8435
Ndhiwa,Ayrshire,4,108,Zero-grazing,21,11289
Suba North,Guernsey,5,70,Zero-grazing,25,7690
Homa Bay Town,Guernsey,1,55,Mixed,15,5648
Rachuonyo North,Holstein-Friesian,2,109,Grazing,26,11928
Rachuonyo South,Brown Swiss,7,78,Zero-grazing,27,7991
Rachuonyo East,Guernsey,2,89,Zero-grazing,30,9329
Suba North,Holstein-Friesian,3,115,Zero-grazing,15,10935
Suba North,Guernsey,6,70,Grazing,30,3108
Rachuonyo South,Holstein-Friesian,7,56,Grazing,16,5258
Ndhiwa,Ayrshire,2,115,Mixed,20,9375
Suba North,Ayrshire,6,69,Mixed,24,3953
Suba North,Ayrshire,6,56,Grazing,23,2447
Rachuonyo East,Jersey,5,72,Zero-grazing,21,5551
Rachuonyo East,Brown Swiss,4,111,Zero-grazing,26,11903
Suba North,Brown Swiss,2,91,Mixed,20,9807
Homa Bay Town,Holstein-Friesian,4,100,Zero-grazing,21,9513
Suba South,Guernsey,4,111,Grazing,25,11202
Rachuonyo South,Jersey,1,54,Mixed,25,6557
Ndhiwa,Jersey,3,106,Zero-grazing,15,9130
Homa Bay Town,Jersey,5,79,Zero-grazing,16,7771
Ndhiwa,Ayrshire,1,73,Grazing,23,7125
Rachuonyo North,Ayrshire,5,68,Zero-grazing,22,5810
Rachuonyo East,Guernsey,5,58,Grazing,27,6555
Ndhiwa,Guernsey,5,69,Zero-grazing,21,8007
Rachuonyo South,Jersey,5,76,Grazing,26,5734
Ndhiwa,Brown Swiss,5,55,Mixed,29,7422
Homa Bay Town,Brown Swiss,5,70,Zero-grazing,22,7886
Rachuonyo South,Guernsey,2,93,Grazing,23,10814
Suba South,Ayrshire,1,52,Mixed,23,5208
Ndhiwa,Brown Swiss,3,100,Zero-grazing,23,9814
Rachuonyo East,Holstein-Friesian,4,106,Grazing,28,8823
Rachuonyo East,Ayrshire,6,65,Zero-grazing,15,2657
Rachuonyo South,Jersey,3,97,Zero-grazing,26,10306
Homa Bay Town,Jersey,6,55,Zero-grazing,16,3903
Rachuonyo East,Brown Swiss,2,108,Mixed,29,10893
Rachuonyo South,Jersey,2,81,Zero-grazing,16,8504
Rachuonyo North,Brown Swiss,2,116,Grazing,23,8801
Suba North,Holstein-Friesian,1,80,Zero-grazing,28,6607
Suba South,Brown Swiss,5,59,Grazing,28,7978
Rachuonyo South,Jersey,2,103,Mixed,19,11928
Rachuonyo South,Holstein-Friesian,6,53,Mixed,25,3093
Rachuonyo South,Ayrshire,5,65,Grazing,15,5916
Rachuonyo North,Jersey,1,73,Zero-grazing,25,5852
Rachuonyo South,Holstein-Friesian,4,92,Zero-grazing,29,8992
Suba North,Guernsey,7,62,Grazing,15,6923
Suba North,Jersey,4,105,Grazing,19,9743
Rachuonyo South,Ayrshire,4,112,Grazing,15,9948
Suba North,Guernsey,7,58,Grazing,25,7811
Homa Bay Town,Brown Swiss,7,72,Mixed,29,6385
Homa Bay Town,Brown Swiss,2,108,Mixed,17,11042
Rachuonyo South,Brown Swiss,6,56,Zero-grazing,21,3549
Suba South,Guernsey,1,79,Grazing,16,7436
Suba South,Guernsey,3,97,Mixed,18,11221
Rachuonyo South,Holstein-Friesian,6,57,Grazing,17,3476
Rachuonyo North,Brown Swiss,2,113,Grazing,21,9197
Ndhiwa,Jersey,7,71,Grazing,16,7275
Ndhiwa,Jersey,2,120,Zero-grazing,24,9281
Suba South,Holstein-Friesian,3,115,Zero-grazing,15,11644
Suba South,Ayrshire,7,52,Mixed,15,7695
Suba North,Ayrshire,6,51,Grazing,21,2952
Rachuonyo South,Ayrshire,7,65,Zero-grazing,19,5519
Ndhiwa,Ayrshire,5,70,Grazing,17,5907
Rachuonyo East,Guernsey,7,78,Grazing,24,8406
Ndhiwa,Ayrshire,6,50,Grazing,22,3031
Suba North,Brown Swiss,7,50,Grazing,17,5001
Rachuonyo East,Brown Swiss,5,63,Zero-grazing,26,7183
Suba South,Brown Swiss,6,54,Mixed,20,2343
Rachuonyo South,Guernsey,6,63,Mixed,29,3198
Rachuonyo East,Brown Swiss,4,104,Grazing,26,10043
Rachuonyo East,Guernsey,2,92,Mixed,18,10799
Suba South,Ayrshire,2,115,Mixed,30,9052
Suba South,Jersey,6,64,Zero-grazing,24,3324
Ndhiwa,Jersey,1,55,Mixed,28,7935
Suba North,Brown Swiss,7,77,Grazing,30,6400
Rachuonyo East,Ayrshire,7,53,Zero-grazing,16,5656
Suba South,Ayrshire,4,88,Zero-grazing,17,11513
Rachuonyo North,Jersey,5,59,Grazing,25,8283
Homa Bay Town,Holstein-Friesian,5,80,Mixed,16,6073
Rachuonyo South,Holstein-Friesian,5,53,Grazing,16,7810
Rachuonyo East,Guernsey,2,103,Grazing,30,10244
Ndhiwa,Brown Swiss,7,51,Mixed,20,5343
Rachuonyo North,Guernsey,4,85,Zero-grazing,17,11431
Suba North,Holstein-Friesian,7,55,Mixed,18,5033
Ndhiwa,Holstein-Friesian,2,83,Mixed,17,11767
Rachuonyo North,Brown Swiss,1,78,Mixed,20,8131
Suba South,Brown Swiss,3,87,Mixed,17,10145
Rachuonyo East,Brown Swiss,6,58,Mixed,19,3610
Suba North,Guernsey,6,60,Zero-grazing,19,3504
Homa Bay Town,Guernsey,3,97,Grazing,18,10088
Suba South,Brown Swiss,1,67,Mixed,21,6560
Ndhiwa,Ayrshire,3,97,Grazing,24,8740
Suba North,Guernsey,2,106,Zero-grazing,25,9317
Ndhiwa,Brown Swiss,1,57,Mixed,26,6706
Rachuonyo North,Holstein-Friesian,3,85,Grazing,22,8636
Suba South,Brown Swiss,6,61,Mixed,21,3942
Rachuonyo North,Jersey,1,66,Grazing,17,7846
Rachuonyo East,Guernsey,2,86,Grazing,19,10053
Ndhiwa,Jersey,3,118,Mixed,28,11183
Ndhiwa,Holstein-Friesian,2,82,Grazing,25,9328
Rachuonyo South,Holstein-Friesian,1,50,Mixed,26,6489
Rachuonyo North,Jersey,2,80,Grazing,27,9722
Rachuonyo East,Holstein-Friesian,5,72,Mixed,17,7928
Rachuonyo East,Ayrshire,4,97,Zero-grazing,20,10022
Rachuonyo East,Guernsey,3,93,Mixed,29,11289
Homa Bay Town,Guernsey,7,77,Zero-grazing,26,7978
Rachuonyo East,Guernsey,7,79,Mixed,30,7274
Rachuonyo South,Ayrshire,6,55,Zero-grazing,26,3412
Suba South,Ayrshire,7,53,Mixed,25,8225
Rachuonyo North,Brown Swiss,6,50,Mixed,15,2039
Suba North,Jersey,2,91,Zero-grazing,26,11624
Rachuonyo East,Guernsey,7,58,Zero-grazing,15,5813
Rachuonyo East,Guernsey,2,95,Zero-grazing,18,9064
Rachuonyo South,Brown Swiss,1,76,Zero-grazing,18,8125
Suba South,Ayrshire,1,65,Zero-grazing,16,5752
Homa Bay Town,Brown Swiss,7,52,Grazing,25,8383
Homa Bay Town,Brown Swiss,6,67,Grazing,21,2628
Homa Bay Town,Ayrshire,2,87,Mixed,15,9497
Rachuonyo South,Jersey,7,57,Zero-grazing,20,7198
Rachuonyo North,Holstein-Friesian,4,99,Grazing,29,8899
Rachuonyo South,Holstein-Friesian,5,67,Zero-grazing,16,8350
Ndhiwa,Holstein-Friesian,4,108,Zero-grazing,23,11242
Rachuonyo East,Guernsey,5,64,Zero-grazing,15,7688
Suba North,Jersey,5,57,Grazing,23,7677
Rachuonyo North,Jersey,1,64,Grazing,29,6428
Ndhiwa,Guernsey,1,78,Grazing,28,6757
Homa Bay Town,Ayrshire,7,64,Mixed,26,6095
Ndhiwa,Holstein-Friesian,6,70,Mixed,17,3905
Rachuonyo North,Holstein-Friesian,7,79,Grazing,20,7707
Ndhiwa,Jersey,4,97,Mixed,20,11766
Rachuonyo North,Brown Swiss,5,75,Grazing,21,6941
Rachuonyo North,Jersey,7,58,Zero-grazing,26,6199
Rachuonyo East,Brown Swiss,2,101,Mixed,24,9163
Rachuonyo South,Brown Swiss,2,93,Grazing,20,8802
Ndhiwa,Brown Swiss,3,113,Mixed,21,10781
Homa Bay Town,Holstein-Friesian,4,97,Mixed,25,9331
Rachuonyo East,Guernsey,4,87,Zero-grazing,25,11975
Rachuonyo East,Brown Swiss,2,120,Mixed,18,8650
Suba South,Jersey,5,68,Mixed,28,5642
Rachuonyo South,Guernsey,1,69,Grazing,20,6001
Rachuonyo South,Ayrshire,5,52,Mixed,20,5412
Suba South,Holstein-Friesian,7,54,Grazing,27,6261
Rachuonyo East,Brown Swiss,2,96,Zero-grazing,21,11246
Rachuonyo North,Ayrshire,4,110,Grazing,20,10675
Rachuonyo East,Holstein-Friesian,5,59,Grazing,30,7491
Ndhiwa,Holstein-Friesian,7,58,Mixed,27,7255
Rachuonyo South,Jersey,3,107,Mixed,24,9279
Rachuonyo East,Ayrshire,7,55,Zero-grazing,17,7116
Ndhiwa,Holstein-Friesian,3,87,Zero-grazing,29,9768
Homa Bay Town,Holstein-Friesian,7,77,Mixed,20,5884
Homa Bay Town,Jersey,5,80,Grazing,19,6008
Ndhiwa,Holstein-Friesian,3,120,Mixed,25,8693
Rachuonyo East,Ayrshire,4,103,Mixed,19,8720
Suba North,Brown Swiss,6,58,Zero-grazing,19,2950
Rachuonyo South,Brown Swiss,6,65,Zero-grazing,17,2878
Suba South,Brown Swiss,7,62,Zero-grazing,21,5264
Rachuonyo South,Guernsey,2,84,Grazing,24,10546
Rachuonyo East,Holstein-Friesian,2,95,Zero-grazing,15,11684
Homa Bay Town,Jersey,1,70,Zero-grazing,22,7957
Suba North,Brown Swiss,7,69,Zero-grazing,27,5521
Rachuonyo South,Guernsey,5,59,Grazing,30,7696
Rachuonyo South,Jersey,7,71,Mixed,21,8199
Rachuonyo South,Ayrshire,2,86,Grazing,26,9758
Rachuonyo South,Jersey,5,69,Mixed,15,5749
Homa Bay Town,Guernsey,5,72,Zero-grazing,20,5809
Rachuonyo East,Brown Swiss,3,106,Mixed,20,9500
Rachuonyo East,Ayrshire,4,96,Mixed,29,10340
Rachuonyo North,Ayrshire,4,104,Zero-grazing,30,10427
Ndhiwa,Ayrshire,3,118,Grazing,17,11338
Suba South,Jersey,5,57,Mixed,20,6733
Rachuonyo North,Ayrshire,6,56,Mixed,20,2865
Ndhiwa,Brown Swiss,3,96,Mixed,18,11011
Suba South,Ayrshire,3,85,Mixed,30,11137
Rachuonyo South,Guernsey,3,81,Grazing,20,10163
Suba South,Ayrshire,5,50,Mixed,23,7817
Rachuonyo East,Jersey,7,50,Mixed,22,7083
Suba South,Brown Swiss,3,113,Grazing,29,11120
Rachuonyo South,Jersey,5,66,Grazing,22,5251
Suba North,Jersey,5,52,Mixed,22,6458
Ndhiwa,Brown Swiss,5,79,Zero-grazing,15,6472
Suba North,Ayrshire,5,74,Mixed,22,7075
Suba South,Guernsey,2,98,Zero-grazing,24,9013
Suba South,Guernsey,4,118,Mixed,23,10585
Ndhiwa,Jersey,2,116,Grazing,24,9437
Ndhiwa,Brown Swiss,2,112,Mixed,29,8845
Rachuonyo North,Holstein-Friesian,5,60,Mixed,25,5249
Suba North,Jersey,3,91,Grazing,24,8548
Rachuonyo South,Ayrshire,7,72,Mixed,24,6243
Ndhiwa,Jersey,2,82,Zero-grazing,23,11460
Rachuonyo East,Ayrshire,3,104,Zero-grazing,19,10727
Rachuonyo East,Guernsey,2,116,Zero-grazing,24,9308
Homa Bay Town,Ayrshire,3,92,Grazing,21,9422
Rachuonyo North,Brown Swiss,4,100,Grazing,25,10976
Suba North,Holstein-Friesian,7,66,Mixed,20,5796
Ndhiwa,Ayrshire,3,80,Zero-grazing,29,10415
Ndhiwa,Jersey,7,73,Zero-grazing,26,5660
Suba North,Guernsey,6,61,Grazing,19,2783
Homa Bay Town,Jersey,3,85,Grazing,26,11931
Suba North,Holstein-Friesian,3,110,Mixed,18,9795
Rachuonyo South,Brown Swiss,4,87,Zero-grazing,23,8945
Homa Bay Town,Jersey,4,86,Zero-grazing,23,10014
Suba North,Ayrshire,6,62,Grazing,20,3927
Ndhiwa,Ayrshire,3,94,Zero-grazing,16,10451
Homa Bay Town,Jersey,6,55,Grazing,15,3505
Rachuonyo East,Guernsey,4,96,Mixed,20,9351
Rachuonyo East,Ayrshire,7,51,Mixed,23,6118
Rachuonyo North,Jersey,2,104,Grazing,26,10239
Suba North,Jersey,3,110,Grazing,16,11994
Homa Bay Town,Ayrshire,6,51,Zero-grazing,24,3820
Ndhiwa,Jersey,2,95,Mixed,27,9685
Homa Bay Town,Holstein-Friesian,6,55,Mixed,20,2681
Suba North,Holstein-Friesian,2,84,Mixed,30,10450
Homa Bay Town,Brown Swiss,7,62,Zero-grazing,30,5337
